CustomerId,CustomerName,City,CountryName,Region,TotalQuantity,DistinctOrders
188,Gary Ruiz,Armungia,"Micronesia, Fed. St.",OCEANIA,626,27
45,Peter Hubbard,Schore,Bolivia,LATIN AMER. & CARIB,626,31
339,Ignatius Hanson,Bientina,Senegal,SUB-SAHARAN AFRICA,626,27
77,Hilel Dodson,Serik,Spain,WESTERN EUROPE,626,28
107,Jerry Hester,Santa Mar�a,China,ASIA (EX. NEAR EAST),625,31
109,Slade Burton,Iqaluit,Sweden,WESTERN EUROPE,622,33
179,Ryder Tyson,Roselies,Sri Lanka,ASIA (EX. NEAR EAST),622,27
379,Chester Foster,Lambayeque,Guernsey,WESTERN EUROPE,622,27
226,Randall Valentine,Martello/Martell,China,ASIA (EX. NEAR EAST),620,29
31,Martin Weiss,Norfolk County,Uzbekistan,C.W. OF IND. STATES,619,26
239,Lucius Harvey,Butte,Papua New Guinea,OCEANIA,619,31
93,Jin Henry,Saint-Herblain,Antigua & Barbuda,LATIN AMER. & CARIB,614,27
201,Lucian Webster,Vieste,Norway,WESTERN EUROPE,614,24
238,Cain Shaffer,Strombeek-Bever,Uzbekistan,C.W. OF IND. STATES,613,26
240,Kaseem Osborn,Bargagli,Hungary,EASTERN EUROPE,612,31
244,Amir Gould,Zhukovka,Ecuador,LATIN AMER. & CARIB,609,28
259,Nathaniel Sampson,Camet�,Saint Kitts & Nevis,LATIN AMER. & CARIB,609,29
389,Eagan Carey,Palakkad,Saudi Arabia,NEAR EAST,608,27
382,Salvador Greene,B�ziers,Panama,LATIN AMER. & CARIB,604,29
342,Ryan Davenport,Cambridge,Norway,WESTERN EUROPE,603,30
195,Geoffrey Conley,Sfruz,Saint Helena,SUB-SAHARAN AFRICA,601,34
89,Brendan Reed,Snellegem,Djibouti,SUB-SAHARAN AFRICA,600,31
232,Brady Pierce,Coihaique,Mexico,LATIN AMER. & CARIB,599,27
154,Nigel Case,Baasrode,Chile,LATIN AMER. & CARIB,599,28
83,Nathaniel Strong,Lago Ranco,Honduras,LATIN AMER. & CARIB,598,30
134,Rooney Anderson,Kitchener,Cayman Islands,LATIN AMER. & CARIB,598,27
196,Cade Preston,Uitbergen,Central African Rep.,SUB-SAHARAN AFRICA,598,31
275,Rudyard Reynolds,Oliver,Ghana,SUB-SAHARAN AFRICA,597,31
373,Hasad Burris,Mianwali,Sweden,WESTERN EUROPE,597,31
392,Wade Waters,Salamanca,Panama,LATIN AMER. & CARIB,597,21
198,Coby Mays,Adoni,Bosnia & Herzegovina,EASTERN EUROPE,596,27
219,Samuel Harding,Fortaleza,Kyrgyzstan,C.W. OF IND. STATES,595,30
398,Dorian Farmer,H_villers,Pakistan,ASIA (EX. NEAR EAST),594,27
176,Flynn Briggs,Oldenburg,French Guiana,LATIN AMER. & CARIB,594,26
124,Hilel Sparks,Gavorrano,Western Sahara,NORTHERN AFRICA,593,28
70,Kieran Perez,Timaru,Taiwan,ASIA (EX. NEAR EAST),592,26
346,Nasim Collins,Minto,Seychelles,SUB-SAHARAN AFRICA,592,28
204,Vernon Clayton,Ruthin,Namibia,SUB-SAHARAN AFRICA,591,30
288,Prescott Faulkner,Montalto Uffugo,Chad,SUB-SAHARAN AFRICA,591,29
30,Griffith Avila,Onega,Guinea-Bissau,SUB-SAHARAN AFRICA,590,29
27,Levi Nolan,Mosquera,"Korea, North",ASIA (EX. NEAR EAST),590,29
341,Donovan Salazar,San Donato di Ninea,Central African Rep.,SUB-SAHARAN AFRICA,589,26
311,Elvis Bush,Llanwrtwd Wells,Hungary,EASTERN EUROPE,587,24
3,Kennan Head,Bothey,Jordan,NEAR EAST,586,32
69,Phillip Charles,Marbella,Czech Republic,EASTERN EUROPE,584,30
375,Bernard Petty,Lisciano Niccone,Saint Helena,SUB-SAHARAN AFRICA,583,22
254,Aristotle Coffey,Cassaro,Cape Verde,SUB-SAHARAN AFRICA,581,31
193,Neil Pruitt,Termeno sulla strada del vino/Tramin an der Weinstrasse,Indonesia,ASIA (EX. NEAR EAST),578,30
315,Curran Holman,Aizwal,Turks & Caicos Is,LATIN AMER. & CARIB,577,26
80,Emmanuel Fernandez,Meerle,Slovenia,EASTERN EUROPE,576,28
175,Uriah Hartman,Patos,Denmark,WESTERN EUROPE,576,29
229,Raymond Norton,Idaho Falls,French Polynesia,OCEANIA,576,26
84,Matthew Yates,Cañete,Sri Lanka,ASIA (EX. NEAR EAST),576,27
390,Travis Manning,Dresden,"Bahamas, The",LATIN AMER. & CARIB,575,26
360,Declan Orr,San Fratello,Turkmenistan,C.W. OF IND. STATES,574,27
394,Lucian Watkins,Carunchio,Iraq,NEAR EAST,574,27
180,Stewart Emerson,Omaha,Spain,WESTERN EUROPE,572,28
104,Lyle Valenzuela,Barnstaple,Anguilla,LATIN AMER. & CARIB,572,24
53,Jesse Lindsey,Peterborough,Western Sahara,NORTHERN AFRICA,572,28
43,Harper Fernandez,Aurora,Togo,SUB-SAHARAN AFRICA,571,26
137,Reuben Alford,Kasur,Jersey,WESTERN EUROPE,569,30
286,Reese Kidd,Marbaix,Tunisia,NORTHERN AFRICA,568,30
91,Robert Lewis,Meux,Saint Lucia,LATIN AMER. & CARIB,566,28
85,Declan Blackburn,Kisi,Sudan,SUB-SAHARAN AFRICA,566,31
376,Palmer Pope,Loreto,Aruba,LATIN AMER. & CARIB,565,27
268,Raja Maldonado,Uttarpara-Kotrung,Tunisia,NORTHERN AFRICA,564,24
393,Evan Leach,Campbelltown,Georgia,C.W. OF IND. STATES,563,22
2,Devin Herman,Portici,Croatia,EASTERN EUROPE,562,29
294,Rudyard Bryan,Mont-Saint-Guibert,Mexico,LATIN AMER. & CARIB,562,27
301,Keaton Hill,Pagazzano,Australia,OCEANIA,561,25
58,Arthur Hinton,Castres,Estonia,BALTICS,561,26
228,Kenneth Gross,Lake Cowichan,Togo,SUB-SAHARAN AFRICA,558,27
245,Wylie Boone,Hines Creek,Vanuatu,OCEANIA,556,26
102,Clinton Rivers,Mocoa,Albania,EASTERN EUROPE,556,26
222,Amos Herrera,Franeker,Taiwan,ASIA (EX. NEAR EAST),554,26
191,Lester Mccarthy,Barrie,Monaco,WESTERN EUROPE,554,23
153,Peter Conley,Ollag�e,Equatorial Guinea,SUB-SAHARAN AFRICA,553,28
48,Adam Dixon,Tomé,Reunion,SUB-SAHARAN AFRICA,550,30
231,Rafael Morrow,Daussoulx,Trinidad & Tobago,LATIN AMER. & CARIB,548,27
164,Dale Saunders,Coimbatore,Latvia,BALTICS,547,27
56,Otto Beck,Landenne,Austria,WESTERN EUROPE,547,28
290,Ray Mcgee,Belfast,Lesotho,SUB-SAHARAN AFRICA,546,22
354,Timothy Black,Deline,Afghanistan,ASIA (EX. NEAR EAST),545,25
148,Fuller Gilbert,Oordegem,Comoros,SUB-SAHARAN AFRICA,545,28
62,Lee Landry,Falkensee,American Samoa,OCEANIA,542,26
40,Hayden Mccormick,Heist-aan-Zee,Canada,NORTHERN AMERICA,541,31
372,Leroy Welch,Louisville,Tuvalu,OCEANIA,541,30
344,Ulysses England,Vergnies,Armenia,C.W. OF IND. STATES,540,28
32,Coby Shannon,Bekasi,Mauritania,SUB-SAHARAN AFRICA,538,30
146,Cameron Figueroa,Blackwood,Cambodia,ASIA (EX. NEAR EAST),538,25
49,Michael Lang,Lestizza,Hong Kong,ASIA (EX. NEAR EAST),538,21
86,Hasad Pittman,Castelvecchio Calvisio,Portugal,WESTERN EUROPE,537,27
197,Chandler Randolph,Spruce Grove,China,ASIA (EX. NEAR EAST),537,22
293,Emery Farrell,Saint-L�,Albania,EASTERN EUROPE,537,29
65,Callum Leach,Drayton Valley,Italy,WESTERN EUROPE,537,24
328,Prescott Mccall,Neerglabbeek,Montserrat,LATIN AMER. & CARIB,536,25
178,Gregory Vaughan,Surendranagar,Comoros,SUB-SAHARAN AFRICA,534,25
122,Chancellor Barry,Norrk�ping,Armenia,C.W. OF IND. STATES,532,23
127,Omar Munoz,Bonnert,Ukraine,C.W. OF IND. STATES,532,22
356,Axel Lowe,Meridian,San Marino,WESTERN EUROPE,532,27
348,Deacon Haney,New Radnor,Mongolia,ASIA (EX. NEAR EAST),531,24
170,Leroy House,Paranagu�,Yemen,NEAR EAST,530,25
399,Philip Nolan,Cessnock,Seychelles,SUB-SAHARAN AFRICA,529,22
76,Hiram Cook,Sirsa,Uruguay,LATIN AMER. & CARIB,528,25
377,Jermaine Townsend,Nasirabad,Guinea-Bissau,SUB-SAHARAN AFRICA,528,23
312,Ivor Rodgers,Bolshevo,Reunion,SUB-SAHARAN AFRICA,527,33
316,Reece Fuller,Vegreville,Zambia,SUB-SAHARAN AFRICA,527,26
270,Rigel Conrad,Maiolati Spontini,Aruba,LATIN AMER. & CARIB,526,24
248,Merritt Wiggins,Monte Vidon Corrado,Cote d'Ivoire,SUB-SAHARAN AFRICA,524,25
278,Slade Bradley,Inuvik,Papua New Guinea,OCEANIA,523,28
16,Talon Blake,Cardedu,France,WESTERN EUROPE,522,26
183,Neville Ortega,Columbus,Niger,SUB-SAHARAN AFRICA,522,24
39,Jerome Tyson,Tolve,Malawi,SUB-SAHARAN AFRICA,520,24
384,Abbot Hayes,Barranca,Gibraltar,WESTERN EUROPE,517,25
82,Lars Rowe,Roccasicura,Gabon,SUB-SAHARAN AFRICA,516,26
211,Ignatius Moses,Valkenburg aan de Geul,Hong Kong,ASIA (EX. NEAR EAST),513,27
159,Griffith Christian,Gravilias,Sao Tome & Principe,SUB-SAHARAN AFRICA,513,22
17,Demetrius Cardenas,Kulti-Barakar,Kiribati,OCEANIA,512,24
110,Emerson English,Nankana Sahib,Bosnia & Herzegovina,EASTERN EUROPE,512,26
98,Chaim Burke,Gladstone,Saint Helena,SUB-SAHARAN AFRICA,512,25
306,Joseph Stanley,Cannalonga,Gibraltar,WESTERN EUROPE,511,23
24,Todd Camacho,Worcester,United Kingdom,WESTERN EUROPE,510,25
273,Nathan Waller,Warren,Saint Helena,SUB-SAHARAN AFRICA,510,29
114,Luke Hardy,Bekegem,Bulgaria,EASTERN EUROPE,509,25
167,Gavin Davis,Soacha,Equatorial Guinea,SUB-SAHARAN AFRICA,507,22
118,Cruz Valencia,Victoria,Dominica,LATIN AMER. & CARIB,507,27
302,Salvador Pena,Ede,French Polynesia,OCEANIA,505,20
145,Camden House,Cles,Antigua & Barbuda,LATIN AMER. & CARIB,504,26
361,Tyrone Caldwell,Grand Island,Faroe Islands,WESTERN EUROPE,502,24
381,Zachery Bender,Valley East,Eritrea,SUB-SAHARAN AFRICA,500,18
169,Bert Delgado,Birmingham,Bulgaria,EASTERN EUROPE,498,23
309,George Montoya,San Cesario di Lecce,Kuwait,NEAR EAST,497,22
165,Caleb Booker,Petr�polis,Morocco,NORTHERN AFRICA,497,25
67,Melvin Hurst,Austin,"Gambia, The",SUB-SAHARAN AFRICA,497,23
329,Charles Clark,Solapur,Czech Republic,EASTERN EUROPE,494,21
234,Price Rutledge,Baili�vre,Norway,WESTERN EUROPE,493,24
365,Curran Vaughan,Camrose,Paraguay,LATIN AMER. & CARIB,493,29
143,Galvin Hodges,Phoenix,Guatemala,LATIN AMER. & CARIB,491,20
364,Wayne Riley,Priero,Kuwait,NEAR EAST,491,25
61,Kato Price,Tournefeuille,Australia,OCEANIA,490,25
255,Blaze Shaw,Gatchina,Israel,NEAR EAST,489,24
142,Dante Pruitt,Banjar,Chad,SUB-SAHARAN AFRICA,489,24
322,Dorian Thompson,Geraldton-Greenough,Portugal,WESTERN EUROPE,489,30
96,Nathaniel Goff,Norfolk,Algeria,NORTHERN AFRICA,487,22
223,Lawrence Good,Oostkerke,Zimbabwe,SUB-SAHARAN AFRICA,486,28
383,Harrison Rosales,Houston,Belarus,C.W. OF IND. STATES,485,31
100,Drew Keith,Hattiesburg,Isle of Man,WESTERN EUROPE,485,22
194,Thor Munoz,Swan Hills,Malaysia,ASIA (EX. NEAR EAST),485,27
163,Darius Bradshaw,Putaendo,Ethiopia,SUB-SAHARAN AFRICA,483,28
241,Tyrone Bird,Russell,Turkmenistan,C.W. OF IND. STATES,483,23
87,Tate Dickson,Moxhe,Saudi Arabia,NEAR EAST,482,25
79,Keefe York,Grangemouth,United States,NORTHERN AMERICA,481,27
327,Valentine Livingston,Kolhapur,Russia,C.W. OF IND. STATES,481,22
264,Judah Barlow,Villers-la-Bonne-Eau,Lithuania,BALTICS,481,23
280,Benedict Buck,Schoonaarde,India,ASIA (EX. NEAR EAST),480,22
121,Perry Ochoa,Chennai,Montserrat,LATIN AMER. & CARIB,479,22
66,Driscoll Mcgee,West Vancouver,Anguilla,LATIN AMER. & CARIB,479,21
44,Vladimir Parks,Casper,Mali,SUB-SAHARAN AFRICA,478,20
282,Carter Goodman,Arviat,Morocco,NORTHERN AFRICA,478,20
276,Nissim Casey,Rotorua,Zimbabwe,SUB-SAHARAN AFRICA,478,27
29,Melvin Lambert,Mardan,Saint Lucia,LATIN AMER. & CARIB,477,25
263,Mohammad Mcintyre,Trujillo,Chad,SUB-SAHARAN AFRICA,477,21
374,Arden Noble,Wimmertingen,Mauritania,SUB-SAHARAN AFRICA,476,25
151,Joel Moss,Subiaco,Uruguay,LATIN AMER. & CARIB,475,26
363,Fritz Ray,Siddi,Costa Rica,LATIN AMER. & CARIB,475,29
74,Lance Luna,Lisieux,Tunisia,NORTHERN AFRICA,474,26
345,Victor Zamora,Oelegem,Zambia,SUB-SAHARAN AFRICA,472,25
326,Chaim Wooten,Castelluccio Inferiore,"Korea, South",ASIA (EX. NEAR EAST),472,28
75,Quamar Richmond,Worcester,Australia,OCEANIA,471,22
105,Garth Russell,Bettiah,Fiji,OCEANIA,470,23
349,Basil Poole,Cuccaro Vetere,Seychelles,SUB-SAHARAN AFRICA,470,24
369,Davis Hartman,Barra do Corda,Malaysia,ASIA (EX. NEAR EAST),469,23
253,Brian Wiggins,Curarrehue,Haiti,LATIN AMER. & CARIB,467,21
173,Fitzgerald Vargas,Rijkevorsel,"Gambia, The",SUB-SAHARAN AFRICA,466,25
257,Valentine Bolton,Chimbote,Liberia,SUB-SAHARAN AFRICA,466,21
320,Barclay Dyer,Sint-Pieters-Leeuw,Fiji,OCEANIA,465,23
331,Xander Joyner,Salisbury,Sudan,SUB-SAHARAN AFRICA,465,22
371,Clinton Parks,Blue Mountains,San Marino,WESTERN EUROPE,463,23
72,Axel Carson,Sant'Egidio alla Vibrata,New Zealand,OCEANIA,462,20
352,Alan Chang,Troitsk,American Samoa,OCEANIA,461,19
22,Cameron Sexton,Kaluga,Saint Vincent and the Grenadines,LATIN AMER. & CARIB,459,21
12,Kennan Arnold,Santa Cesarea Terme,Lebanon,NEAR EAST,455,26
251,Tyrone Thomas,Monghidoro,Samoa,OCEANIA,455,29
161,Noble Hayes,Tsiigehtchic,Uganda,SUB-SAHARAN AFRICA,455,21
216,Zane Berry,Abergavenny,Uganda,SUB-SAHARAN AFRICA,455,20
300,Joseph Trujillo,Kerkhove,Cameroon,SUB-SAHARAN AFRICA,452,21
333,Walker Ballard,Piovene Rocchette,Bulgaria,EASTERN EUROPE,452,25
250,Brent Langley,Atlanta,Netherlands,WESTERN EUROPE,450,24
73,Samson Lawson,Quenast,Libya,NORTHERN AFRICA,448,21
37,Trevor Ewing,Den Helder,Turks & Caicos Is,LATIN AMER. & CARIB,448,24
141,Jesse Franks,Allentown,Virgin Islands,LATIN AMER. & CARIB,447,24
64,Preston Salazar,Tübingen,Guadeloupe,LATIN AMER. & CARIB,446,24
205,Melvin Harper,College,Martinique,LATIN AMER. & CARIB,444,18
303,Bradley Le,Rueglio,"Congo, Dem. Rep.",SUB-SAHARAN AFRICA,443,25
221,Plato Garcia,Pointe-du-Lac,Slovenia,EASTERN EUROPE,441,25
157,Ali Wilkerson,Pirmasens,Senegal,SUB-SAHARAN AFRICA,440,21
150,Grant Burgess,Stratford-upon-Avon,Burkina Faso,SUB-SAHARAN AFRICA,440,21
136,Baxter Bray,La Matap�dia,Sao Tome & Principe,SUB-SAHARAN AFRICA,439,21
252,Valentine Morrow,Guarapuava,Ukraine,C.W. OF IND. STATES,438,17
4,Peter Fry,Oudegem,Liberia,SUB-SAHARAN AFRICA,437,22
92,Orson Tyson,Bhavnagar,Solomon Islands,OCEANIA,436,18
266,Yardley William,Akola,Sri Lanka,ASIA (EX. NEAR EAST),436,22
217,Ferdinand Hubbard,Retford,Albania,EASTERN EUROPE,435,16
299,Knox Vinson,Bon Accord,Honduras,LATIN AMER. & CARIB,432,20
41,Malik Wyatt,Mocoa,Chile,LATIN AMER. & CARIB,432,28
55,Price Buchanan,Barra do Corda,Ethiopia,SUB-SAHARAN AFRICA,428,24
281,Reese Drake,Coquitlam,"Micronesia, Fed. St.",OCEANIA,428,15
177,Lyle Dunn,Kelkheim,Malawi,SUB-SAHARAN AFRICA,428,22
11,Edan Wells,Lille,Panama,LATIN AMER. & CARIB,427,24
336,Silas Reeves,Rixensart,Brazil,LATIN AMER. & CARIB,426,23
94,Theodore Rowland,Gignod,Moldova,C.W. OF IND. STATES,423,21
297,Edan Scott,Mascalucia,Puerto Rico,LATIN AMER. & CARIB,421,22
225,Callum Payne,Bad V�slau,Zimbabwe,SUB-SAHARAN AFRICA,418,20
23,Hayes Pitts,Kayseri,Belgium,WESTERN EUROPE,416,24
200,Declan Harmon,Sint-Denijs,Chad,SUB-SAHARAN AFRICA,415,22
304,Stone Giles,Didim,Colombia,LATIN AMER. & CARIB,414,23
138,Dante Mcneil,Karachi,Djibouti,SUB-SAHARAN AFRICA,413,24
206,Joseph Clayton,Friedrichsdorf,Fiji,OCEANIA,410,20
395,Howard Vargas,Pangkalpinang,"Bahamas, The",LATIN AMER. & CARIB,406,21
388,Victor Albert,Branchon,Canada,NORTHERN AMERICA,406,19
292,Solomon Burks,Noisy-le-Grand,Kuwait,NEAR EAST,404,23
5,Guy Ball,Charleville-Mézières,Togo,SUB-SAHARAN AFRICA,404,23
220,Tyrone Oneill,St. John's,Egypt,NORTHERN AFRICA,401,19
129,Rooney Knowles,Gistel,Guyana,LATIN AMER. & CARIB,399,19
224,Jeremy Obrien,Vaux-lez-Rosieres,Afghanistan,ASIA (EX. NEAR EAST),398,23
272,Sylvester Valenzuela,Cavallino,Fiji,OCEANIA,396,22
63,Daniel Mays,Lauro de Freitas,Turks & Caicos Is,LATIN AMER. & CARIB,395,24
357,Quentin Kidd,Bedford,Afghanistan,ASIA (EX. NEAR EAST),392,23
20,Keith Pittman,Caldera,Afghanistan,ASIA (EX. NEAR EAST),392,20
78,Jerry Gallegos,Gießen,Togo,SUB-SAHARAN AFRICA,391,18
34,Lev Morales,San Vicente de Cañete,Comoros,SUB-SAHARAN AFRICA,391,19
147,Addison Mendoza,Grezzana,Lithuania,BALTICS,390,20
199,Kennan Graves,M�dling,Ghana,SUB-SAHARAN AFRICA,388,20
214,Hector Shannon,Oudergem,Panama,LATIN AMER. & CARIB,384,17
355,Wade Romero,Smolensk,United States,NORTHERN AMERICA,384,20
353,Ashton Boyle,Neunkirchen,Malta,WESTERN EUROPE,383,21
88,Beck Wiggins,Jacobabad,Barbados,LATIN AMER. & CARIB,381,19
